name,glon,glat,ts,r95,diffuse,d,Fp,Ep,source type
4FGL J0344.2+3203,160.674,-17.825,131.999,0.093,0.770,0.999,2.763,0.420,bcu-psr
4FGL J0345.2+4735,150.716,-5.687,49.487,0.063,0.456,0.495,0.057,2.159,UNID-BLL
4FGL J0346.1+0342,183.599,-37.829,44.393,0.060,0.145,-0.093,0.101,1000.000,UNID-BLL
4FGL J0346.2+3235,160.464,-17.237,117.439,0.069,0.697,0.208,3.946,0.100,UNID-FSRQ
4FGL J0347.0-6400,278.099,-43.702,74.068,0.053,-0.362,0.876,0.037,1.370,UNID-BLL
4FGL J0347.5+0722,180.409,-35.158,45.071,0.046,0.036,0.462,0.020,13.398,UNID-BLL
4FGL J0348.5-1804,209.994,-48.342,33.849,0.059,-0.310,0.032,0.010,1000.000,UNID-BLL
4FGL J0356.9+3013,163.941,-17.542,35.096,0.114,0.159,0.982,0.083,1.294,UNID-PSR
4FGL J0357.7-6808,282.064,-40.615,37.127,0.041,-0.071,0.394,0.009,19.199,UNID-BLL
4FGL J0357.8+3204,162.761,-16.010,19452.208,0.013,0.083,1.184,518.375,0.770,young
4FGL J0358.6+5912,144.910,4.582,35.023,0.213,0.673,0.318,1.369,0.100,UNID-FSRQ
4FGL J0358.7-7403,288.353,-37.275,48.072,0.085,-0.030,0.314,0.051,0.353,UNID-BLL
4FGL J0359.3+3626,159.962,-12.615,72.304,0.115,0.217,1.440,0.376,0.808,UNID-PSR
4FGL J0402.8-2747,225.288,-47.880,54.937,0.140,-0.740,0.895,0.055,0.624,UNID-FSRQ
4FGL J0403.3+1249,178.597,-28.684,26.800,0.086,0.203,-0.100,0.816,1000.000,UNID-BLL
4FGL J0405.4-6929,283.089,-39.312,120.295,0.048,-0.230,0.248,0.096,0.401,UNID-BLL
4FGL J0405.9+3041,165.068,-15.852,25.315,0.077,0.288,-0.100,3.235,0.100,UNID-BLL
4FGL J0406.2+0639,184.627,-32.072,50.154,0.065,0.087,-0.100,0.815,0.100,UNID-BLL
4FGL J0409.2+2542,169.263,-18.865,84.432,0.044,0.025,0.014,0.082,0.100,UNID-BLL
4FGL J0409.3+0210,189.453,-34.103,26.347,0.085,0.181,0.063,0.115,0.100,UNID-BLL
4FGL J0409.4-3822,241.140,-47.421,82.802,0.042,-0.749,0.842,0.045,6.683,UNID-BLL
4FGL J0409.7+4006,159.051,-8.487,65.665,0.135,0.774,0.832,0.726,0.602,UNID-PSR
4FGL J0412.5+6519,142.125,10.297,37.288,0.239,0.655,1.415,0.626,0.428,UNID-FSRQ
4FGL J0413.1-0304,195.545,-36.138,108.432,0.089,-0.379,0.383,0.195,0.365,UNID-FSRQ
4FGL J0413.4-8609,299.503,-29.518,85.044,0.069,-0.112,0.457,0.079,0.848,UNID-BLL
4FGL J0414.3+4522,155.941,-4.076,47.345,0.066,0.569,-0.100,3.492,0.100,UNID-BLL
4FGL J0414.6+5711,147.866,4.525,113.110,0.043,0.668,0.089,0.114,1.687,UNID-BLL
4FGL J0414.7-4300,247.897,-46.231,371.272,0.050,-0.694,1.363,0.530,0.841,UNID-PSR
4FGL J0418.9+6636,141.523,11.547,1171.762,0.019,0.454,0.488,3.946,1.820,MSP
4FGL J0420.3-0407,197.644,-35.231,33.934,0.083,-0.468,0.152,0.065,0.100,UNID-BLL
4FGL J0423.0-0943,204.177,-37.314,108.220,0.048,-0.207,1.028,0.103,2.040,UNID-PSR
4FGL J0423.1-1408,209.299,-39.156,39.829,0.044,-0.358,0.907,0.031,40.615,UNID-BLL
4FGL J0425.1+4919,154.492,0.009,26.986,0.072,0.894,0.128,0.023,22.096,UNID-BLL
4FGL J0426.5+5434,150.872,3.827,1319.748,0.039,0.696,0.992,49.943,0.493,UNID-PSR
4FGL J0427.4+6433,143.524,10.941,36.344,0.224,0.513,0.953,0.730,0.271,UNID-FSRQ
4FGL J0427.9+3632,164.064,-8.428,74.375,0.155,0.830,0.397,4.207,0.115,UNID-FSRQ
4FGL J0431.0+3529,165.330,-8.758,72.065,0.138,0.709,2.000,1.105,0.825,UNID-PSR
4FGL J0431.1+4433,158.642,-2.564,43.269,0.041,0.643,2.000,0.109,34.605,UNID-BLL
4FGL J0432.0+1732,179.475,-20.365,57.358,0.082,0.269,1.528,0.193,1.542,bcu-psr
4FGL J0433.0+1327,183.113,-22.673,60.622,0.071,0.343,0.356,0.170,0.595,UNID-BLL
4FGL J0435.5+3232,168.165,-9.999,88.930,0.044,0.431,0.741,0.156,2.779,UNID-PSR
4FGL J0436.9+2915,170.892,-11.946,281.530,0.037,0.369,0.346,1.177,0.804,UNID-PSR
4FGL J0437.2-4715,253.401,-41.956,6658.197,0.020,-0.747,0.855,27.982,0.660,MSP
4FGL J0438.2-4243,247.530,-41.789,102.308,0.227,-0.674,-0.100,9.506,0.100,UNID-BLL
4FGL J0439.2+2151,177.097,-16.304,55.848,0.095,0.272,1.214,0.227,1.073,bcu-psr
4FGL J0439.6-8322,296.403,-30.381,34.913,0.216,-0.036,0.194,0.049,0.202,UNID-BLL
