4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0133.7-3409,-78.514,253.265,4.549,0.082,14.366,1000.000,0.077,-0.090,unid,bll,0.905,0.087,0.008
4FGL J0136.2-4708,-68.139,282.145,4.263,0.067,10.814,11.092,0.003,0.429,unid,bll,0.912,0.077,0.011
4FGL J0136.4+6911,6.668,126.930,4.245,0.413,6.821,0.160,0.709,0.408,unid,fsrq,0.071,0.905,0.025
4FGL J0136.6+3130,-30.385,134.105,4.900,0.095,35.662,1000.000,0.063,-0.100,unid,bll,0.895,0.095,0.011
4FGL J0137.3-3239,-78.621,244.720,5.330,0.125,13.752,0.528,0.036,0.625,unid,fsrq,0.429,0.399,0.173
4FGL J0138.5+3931,-22.450,132.738,6.884,0.097,76.547,0.100,1.626,0.169,unid,fsrq,0.049,0.944,0.006
4FGL J0138.5+0300,-57.797,145.414,4.780,0.098,12.008,0.107,0.030,0.125,unid,bll,0.898,0.093,0.009
4FGL J0139.2-1705,-75.070,173.162,6.046,0.063,13.373,0.100,0.481,-0.100,unid,bll,0.946,0.051,0.003
4FGL J0139.5-2228,-78.132,192.494,14.212,0.073,12.758,2.238,0.141,1.030,unid,pulsar,0.015,0.047,0.938
4FGL J0140.3+7054,8.415,126.947,8.033,0.035,10.828,13.047,0.055,0.555,unid,bll,0.915,0.082,0.003
4FGL J0140.4+5114,-10.881,130.709,4.940,0.152,7.265,0.755,0.082,0.812,unid,pulsar,0.021,0.287,0.693
4FGL J0140.5-4730,-67.470,280.916,5.004,0.105,20.748,0.579,0.024,0.594,unid,bll,0.709,0.248,0.043
4FGL J0142.5+6650,4.460,127.935,5.419,0.209,10.709,0.402,1.132,0.897,unid,pulsar,0.011,0.318,0.671
4FGL J0143.8+4947,-12.199,131.540,4.760,0.056,8.663,1.394,0.008,0.166,unid,bll,0.920,0.076,0.004
4FGL J0144.3+5959,-2.197,129.506,5.588,0.128,16.815,0.278,0.708,0.545,unid,fsrq,0.012,0.874,0.114
4FGL J0150.4+4848,-12.919,132.840,7.408,0.091,7.763,5.285,0.048,1.090,unid,bll,0.519,0.352,0.130
4FGL J0150.9+1230,-47.813,144.833,4.188,0.071,15.736,0.131,0.019,0.110,unid,bll,0.904,0.087,0.009
4FGL J0152.9-1109,-68.461,168.054,5.851,0.048,17.540,13.903,0.010,0.280,unid,bll,0.917,0.079,0.005
4FGL J0153.3+5416,-7.509,131.968,7.332,0.050,18.957,11.236,0.016,0.039,unid,bll,0.906,0.087,0.007
4FGL J0153.3-1845,-73.502,185.725,5.085,0.121,15.689,0.100,0.063,-0.060,unid,bll,0.951,0.044,0.006
4FGL J0155.5+2920,-31.483,139.331,4.678,0.146,7.904,0.100,0.083,0.003,unid,bll,0.917,0.077,0.005
4FGL J0155.7+6642,4.628,129.239,4.691,0.126,15.155,0.259,0.570,0.389,unid,fsrq,0.081,0.842,0.077
4FGL J0156.3-2420,-75.137,205.719,13.908,0.042,43.855,6.492,0.081,0.237,unid,bll,0.931,0.067,0.002
4FGL J0157.6+1012,-49.352,148.434,4.683,0.127,14.169,0.935,0.014,0.168,unid,bll,0.944,0.053,0.002
4FGL J0158.4+1230,-47.161,147.387,4.294,0.864,22.222,0.107,1.554,0.911,unid,fsrq,0.025,0.940,0.035
4FGL J0158.5+6058,-0.839,130.979,5.472,0.211,13.197,0.361,1.205,0.676,unid,pulsar,0.011,0.453,0.536
4FGL J0158.5+0549,-53.265,151.641,4.613,0.067,21.605,1000.000,0.307,-0.100,unid,bll,0.911,0.080,0.010
