name,glon,glat,d,Fp,Ep,diffuse,pdf_young,pdf_MSP
4FGL J1343.5-6827,307.606,-6.064,0.912,0.606,0.582,0.345,0.097,0.041
4FGL J1356.0-6747,308.966,-5.698,0.818,0.933,0.365,0.443,0.077,0.019
4FGL J1357.3-6123,310.771,0.610,0.735,9.091,0.672,1.420,0.305,0.083
4FGL J1357.8-5724,311.816,4.313,0.864,0.288,0.820,0.599,0.070,0.178
4FGL J1401.9-6130,311.201,0.252,0.702,1.050,2.866,1.634,0.022,0.001
4FGL J1404.8-5237,314.075,8.661,0.483,0.895,0.846,0.560,0.107,0.298
4FGL J1407.7-3017,321.816,29.850,0.914,0.836,0.453,-0.189,0.037,0.016
4FGL J1412.1-6631,310.855,-4.890,0.874,2.071,1.748,0.601,0.077,0.409
4FGL J1415.4-6458,311.662,-3.552,0.716,0.433,2.611,0.744,0.003,0.057
4FGL J1418.7-6110,313.259,-0.045,0.554,22.042,0.684,1.635,0.305,0.050
4FGL J1427.8-6051,314.394,-0.149,0.237,85.028,0.233,1.617,0.089,0.000
4FGL J1442.1-2800,330.819,28.788,0.727,0.732,0.328,-0.070,0.018,0.024
4FGL J1445.1-5958,316.767,-0.067,0.287,5.764,0.377,1.634,0.086,0.003
4FGL J1445.9-5907,317.163,0.548,0.618,4.523,0.417,1.339,0.118,0.048
4FGL J1451.4-5142,321.171,6.844,0.862,2.135,0.253,0.539,0.083,0.015
4FGL J1500.2+2640,39.597,61.264,1.493,0.324,0.672,-0.394,0.017,0.042
4FGL J1505.1-5145,323.050,5.886,0.827,0.921,0.594,0.574,0.114,0.104
4FGL J1506.5-5708,320.476,1.054,0.627,1.145,1.479,1.268,0.112,0.085
4FGL J1507.4-6450,316.701,-5.630,0.481,0.364,0.527,0.618,0.069,0.143
4FGL J1517.9-5233,324.262,4.140,1.024,6.195,1.783,0.680,0.226,0.181
4FGL J1529.4-6027,321.187,-3.386,0.891,1.522,0.600,0.719,0.138,0.105
4FGL J1533.0-6239,320.360,-5.323,0.820,0.674,0.416,0.518,0.062,0.028
4FGL J1534.0-5232,326.300,2.801,0.379,2.459,0.823,0.833,0.097,0.149
4FGL J1534.7-5842,322.763,-2.285,1.280,0.815,3.256,0.944,0.014,0.061
4FGL J1537.3-6110,321.625,-4.477,0.853,0.364,0.949,0.647,0.095,0.227
4FGL J1538.0-4638,330.333,7.156,0.610,5.868,0.278,0.542,0.053,0.065
4FGL J1539.4-3323,338.786,17.536,1.289,17.169,2.681,0.619,0.079,0.051
4FGL J1543.4-5925,323.291,-3.434,0.651,0.917,0.711,0.749,0.183,0.171
4FGL J1544.2-2554,344.768,22.602,0.545,3.326,0.626,0.268,0.137,0.397
4FGL J1547.4-4802,330.713,5.132,0.427,4.589,0.333,0.745,0.081,0.079
4FGL J1548.1-4416,333.197,7.975,0.781,1.604,0.456,0.449,0.096,0.060
4FGL J1552.6-4603,332.630,6.120,1.068,1.331,0.338,0.620,0.047,0.009
4FGL J1556.8-5242,328.875,0.545,0.602,2.309,1.279,1.824,0.040,0.000
4FGL J1604.4-4927,331.957,2.175,0.706,6.113,0.656,1.154,0.338,0.174
4FGL J1604.7-4518,334.867,5.275,0.736,0.757,0.451,0.778,0.048,0.075
4FGL J1615.9-4322,337.480,5.313,0.697,1.137,0.326,0.703,0.043,0.043
4FGL J1616.6-5341,330.485,-2.165,1.483,13.617,1.661,0.913,0.036,0.018
4FGL J1617.8-4418,337.003,4.432,1.060,2.573,0.369,0.950,0.025,0.026
4FGL J1618.3-4537,336.419,3.422,0.846,2.724,0.371,0.944,0.081,0.056
4FGL J1621.0-2625,350.520,16.460,0.730,1.399,0.470,0.548,0.089,0.099
4FGL J1621.4-4511,336.982,3.328,0.523,0.792,0.580,0.911,0.126,0.096
4FGL J1622.2-1930,356.283,20.860,0.654,0.489,0.409,0.735,0.032,0.076
4FGL J1624.1-4417,337.980,3.642,0.420,3.278,0.322,0.874,0.070,0.066
4FGL J1624.9-4538,337.241,2.575,0.643,3.879,0.417,1.019,0.106,0.079
4FGL J1626.6-4251,339.399,4.313,0.428,2.192,0.320,0.936,0.057,0.063
4FGL J1627.7-5749,328.645,-6.210,0.779,0.804,0.686,0.528,0.150,0.171
