name,log_nbb,pindex,curvature,log_e0,abs_sin_b,log_eflux,category,ts,r95,glat,uw_name,ra,dec
4FGL J1951.0+2523,0.000000,2.624456,0.523143,3.155262,0.011508,-11.088390,X,141.440410,0.109944,-0.659380,J1951.2+2527,297.822003,25.453423
4FGL J1951.6+2621,0.000000,2.634219,0.314347,3.349075,0.004058,-11.181927,X,85.012841,0.099077,-0.232498,J1951.3+2619,297.846300,26.326195
4FGL J1954.5+2420,0.000000,1.046660,0.451983,3.213853,0.033018,-11.236407,psr-like,88.709811,0.107235,-1.892133,J1954.6+2420,298.674851,24.344956
4FGL J1954.8+2543,0.000000,1.480160,0.348298,3.168658,0.022683,-11.120059,psr-like,91.114130,0.131221,-1.299731,J1955.1+2540,298.792073,25.668464
4FGL J1955.3-5032,0.000000,2.229143,-0.064580,3.360626,0.507824,-11.758719,bll,47.995838,0.039427,-30.518963,J1955.3-5032,298.844043,-50.547194
4FGL J1955.8-1657,0.778151,2.555556,-0.072894,3.087936,0.369278,-11.483755,fsrq,48.424867,0.060872,-21.671089,J1955.9-1656,298.984658,-16.933789
4FGL J1955.8+1154,0.698970,1.000000,0.501678,3.585052,0.147335,-11.955221,psr-like,45.062772,0.061701,-8.472522,J1955.8+1154,298.954156,11.907377
4FGL J1957.6+1230,0.301030,1.943880,0.492986,3.574186,0.148540,-11.868656,X,63.732225,0.050088,-8.542308,J1957.5+1230,299.395804,12.508489
4FGL J1959.8-1835,1.000000,2.614394,0.485429,3.010548,0.393509,-11.761345,fsrq,28.650374,0.258826,-23.173009,J1959.8-1836,299.960844,-18.604216
4FGL J2004.9+3421,0.000000,2.563764,0.302985,3.382711,0.025154,-11.393956,X,39.241345,0.121084,1.441380,J2005.0+3419,301.261874,34.331625
4FGL J2005.8+3357,0.477121,2.119464,-0.063334,4.010927,0.018858,-11.370531,bll,25.670505,0.057829,1.080526,J2005.9+3357,301.496196,33.963905
