4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0751.2+1808,msp,21.104,202.722,39.709,0.024,2.041,9.787,1.196,0.991,-0.326
4FGL J0752.0-2931,unid-pulsar,-1.277,245.783,11.498,0.119,0.897,1.954,1.130,0.994,0.558
4FGL J0753.1-2624,unid-pulsar,0.535,243.225,5.208,0.231,0.434,0.618,0.754,0.781,0.651
4FGL J0754.9-3953,unid-pulsar,-6.062,255.023,13.054,0.053,2.212,0.780,1.272,0.983,0.460
4FGL J0758.8-1450,unid-pulsar,7.613,233.956,25.634,0.037,1.672,2.803,0.950,0.998,-0.092
4FGL J0800.4-2257,bcu-pulsar,3.738,241.139,9.911,0.152,0.640,0.678,0.761,0.616,0.242
4FGL J0800.5+3715,unid-pulsar,29.111,183.374,6.714,0.098,1.402,0.041,0.876,0.799,-0.360
4FGL J0800.7-1059,unid-pulsar,9.990,230.854,9.725,0.076,0.545,0.198,0.380,0.355,-0.080
4FGL J0802.1-5612,psr,-13.210,269.949,26.487,0.052,1.076,4.135,1.208,0.987,0.162
4FGL J0811.0-5636,unid-pulsar,-12.352,270.944,4.622,0.105,2.433,0.046,1.112,0.726,0.335
4FGL J0819.5-3439,unk-pulsar,0.874,253.236,7.061,0.208,0.228,2.247,0.523,0.708,0.678
4FGL J0821.5-1436,unid-pulsar,12.421,236.699,6.309,0.132,0.653,0.117,1.011,0.592,-0.288
4FGL J0826.1-5053,unid-pulsar,-7.386,267.307,14.461,0.054,1.198,1.021,0.528,1.000,0.568
4FGL J0828.4-4444,unid-pulsar,-3.516,262.472,12.258,0.075,2.005,3.300,0.838,0.996,0.999
4FGL J0830.1-5454,unid-pulsar,-9.179,270.982,6.049,0.259,0.473,0.397,0.858,0.789,0.384
4FGL J0830.5-4451,spp-pulsar,-3.280,262.800,14.063,0.056,0.685,13.655,0.300,0.886,0.831
4FGL J0832.2-4322,unid-pulsar,-2.155,261.767,6.030,0.093,0.100,17.746,0.022,0.541,1.082
4FGL J0833.4-0458,fsrq-pulsar,20.016,229.804,10.415,0.076,1.669,0.122,0.936,0.833,-0.390
4FGL J0835.3-4510,psr,-2.788,263.554,689.218,0.008,1.054,30910538.426,0.608,0.962,0.788
4FGL J0837.8-4048,unid-pulsar,0.215,260.348,5.462,0.170,0.413,1.851,0.471,0.950,1.149
4FGL J0838.4-3952,unid-pulsar,0.867,259.669,6.020,0.200,0.240,9.591,0.817,0.968,0.975
4FGL J0838.7-2827,other-pulsar,7.810,250.572,29.535,0.031,1.746,2.875,0.690,0.997,0.095
4FGL J0840.5-4122,unid-pulsar,0.272,261.106,4.779,0.212,0.244,10.783,0.794,0.920,1.161
4FGL J0840.6-3130,unid-pulsar,6.301,253.276,6.432,0.137,1.290,0.120,1.126,0.920,0.114
4FGL J0843.3+6712,msp,35.602,147.803,24.339,0.031,2.919,0.765,0.942,0.994,-0.479
4FGL J0843.9-4224,unid-pulsar,0.126,262.299,6.720,0.177,0.319,13.429,0.951,0.984,1.087
4FGL J0844.1-4330,unid-pulsar,-0.529,263.192,6.784,0.164,0.368,5.757,0.610,0.985,1.073
4FGL J0844.9-4117,unid-pulsar,0.973,261.551,6.366,0.207,0.662,1.574,0.691,0.998,0.886
4FGL J0847.8-4138,unid-pulsar,1.171,262.150,5.948,0.135,0.343,4.937,0.778,0.984,0.931
4FGL J0848.8-4328,unid-pulsar,0.164,263.694,13.795,0.104,0.232,45.021,0.504,0.993,1.015
4FGL J0850.3-4448,unid-pulsar,-0.465,264.901,5.326,0.161,0.305,3.152,0.538,0.889,0.973
4FGL J0850.8-4239,unid-pulsar,0.961,263.302,6.026,0.230,0.296,9.456,0.785,0.986,0.913
4FGL J0853.1-4407,unid-pulsar,0.352,264.698,4.894,0.262,0.475,2.881,0.828,0.992,1.046
4FGL J0853.2-4218,unid-pulsar,1.526,263.307,6.414,0.105,0.412,2.919,0.658,0.943,0.920
4FGL J0853.6-4306,unid-pulsar,1.072,263.976,10.008,0.167,0.421,15.691,0.967,0.925,1.020
4FGL J0854.8-4504,unid-pulsar,-0.034,265.607,38.479,0.028,1.525,40.118,0.718,0.990,0.888
4FGL J0855.4-0714,bcu-pulsar,23.410,235.031,9.824,0.131,0.887,0.176,0.900,0.765,-0.433
4FGL J0857.0-4353,unid-pulsar,1.032,264.966,4.338,0.160,0.449,2.608,0.736,0.923,1.018
4FGL J0857.7-4256,unid-pulsar,1.752,264.334,10.522,0.084,0.301,6.398,0.368,0.843,0.968
4FGL J0858.4-4615,unid-pulsar,-0.324,266.923,4.674,0.105,0.389,3.371,0.715,0.968,1.012
4FGL J0859.2-4729,unid-pulsar,-1.027,267.937,17.893,0.079,0.275,25.294,0.329,0.984,0.899
4FGL J0859.3-4342,unid-pulsar,1.460,265.096,8.797,0.128,0.672,4.401,0.623,0.996,1.030
