name,glon,glat,ts,r95,curvature,Fp,Ep,source type
4FGL J1055.7-6028,289.145,-0.729,530.808,0.030,0.661,14.470,1.328,young
4FGL J1056.9-5852,288.596,0.770,643.260,0.040,1.231,26.434,0.919,young
4FGL J1057.9-5227,285.986,6.649,204311.233,0.009,0.782,18145.615,1.171,young
4FGL J1102.4+0246,251.309,54.426,90.875,0.066,1.816,0.123,1.817,MSP
4FGL J1104.9-6037,290.234,-0.405,1500.022,0.024,0.671,79.130,0.848,young
4FGL J1105.4-6108,290.489,-0.862,638.594,0.037,0.611,32.937,0.564,young
4FGL J1106.7-1742,270.478,38.491,284.120,0.041,0.724,0.344,1.466,UNID-PSR
4FGL J1111.8-6039,291.022,-0.108,5363.431,0.013,0.523,234.942,2.480,young
4FGL J1112.1-6108,291.213,-0.466,470.335,0.037,0.719,16.600,1.432,young
4FGL J1112.2-6055,291.162,-0.296,352.903,0.047,0.396,24.810,0.552,UNID-PSR
4FGL J1119.1-6127,292.124,-0.542,1310.240,0.027,0.600,66.310,0.810,young
4FGL J1120.0-2204,276.494,36.064,4523.991,0.019,1.026,26.812,1.096,UNID-PSR
4FGL J1124.0-3653,284.097,22.759,2238.603,0.019,0.543,7.993,1.947,MSP
4FGL J1124.7-5915,292.036,1.755,7592.950,0.017,0.414,319.279,0.339,young
4FGL J1125.6-5825,291.870,2.599,473.284,0.032,0.769,2.507,2.672,MSP
4FGL J1126.0-5007,289.213,10.471,95.770,0.059,1.765,0.173,2.682,UNID-PSR
4FGL J1126.4-6011,292.507,0.916,105.443,0.062,0.294,0.763,0.397,MSP
4FGL J1127.9-6158,293.281,-0.723,124.443,0.074,1.149,4.313,1.081,UNID-PSR
4FGL J1133.7-6223,294.100,-0.839,100.459,0.133,0.865,5.755,0.664,UNID-PSR
4FGL J1135.2-6055,293.800,0.579,4010.471,0.018,0.433,156.227,0.512,young
4FGL J1137.6+7527,128.953,40.792,62.198,0.071,0.876,0.020,2.050,MSP
4FGL J1139.2-6247,294.785,-1.057,629.003,0.027,0.441,11.622,2.079,young
4FGL J1146.0-6822,296.950,-6.192,90.379,0.059,1.000,0.201,1.598,UNID-PSR
4FGL J1147.7-6618,296.539,-4.197,43.001,0.140,0.960,0.168,1.390,MSP
4FGL J1152.0-6107,295.825,0.908,490.935,0.039,0.461,7.834,0.643,young
4FGL J1154.5-5952,295.822,2.146,96.904,0.128,0.900,1.621,0.569,UNID-PSR
